0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:08 +0100] "OPTIONS /api/v1.0/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:10 +0100] "POST /api/v1.0/login HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:10 +0100] "OPTIONS /api/v1.0/users/findByName/admin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:10 +0100] "GET /api/v1.0/users/findByName/admin HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:11 +0100] "GET /notifications/info?token=eyJhbGciOiJIUzUxMiJ9.eyJhdXRoIjoiUk9MRV9BRE1JTiIsInN1YiI6ImFkbWluIiwiaWF0IjoxNTk4MTc0MDQ5LCJleHAiOjE1OTkwMzgwNDl9.R3L_ick-tiWcRyIMMsI1C5eBhl24xyPVLY_CW4zp49ZswnACneP0nyVmdNPtPSwUAICMCITacoRycTaSVEyQCA&t=1598174051028 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:11 +0100] "OPTIONS /api/v1.0/maps/count HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:11 +0100] "GET /api/v1.0/maps/count HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:11 +0100] "OPTIONS /api/v1.0/maps?page=0&limit=14 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:11 +0100] "GET /notifications/008/sx4mjeno/websocket?token=eyJhbGciOiJIUzUxMiJ9.eyJhdXRoIjoiUk9MRV9BRE1JTiIsInN1YiI6ImFkbWluIiwiaWF0IjoxNTk4MTc0MDQ5LCJleHAiOjE1OTkwMzgwNDl9.R3L_ick-tiWcRyIMMsI1C5eBhl24xyPVLY_CW4zp49ZswnACneP0nyVmdNPtPSwUAICMCITacoRycTaSVEyQCA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:12 +0100] "GET /api/v1.0/maps?page=0&limit=14 HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:22 +0100] "GET /api/v1.0/maps/count HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:14:22 +0100] "GET /api/v1.0/maps?page=0&limit=14 HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:03 +0100] "GET /api/v1.0/maps/count HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:03 +0100] "GET /api/v1.0/maps?page=0&limit=14 HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:25 +0100] "OPTIONS /api/v1.0/entityelements/export/msan/geojson?file=false&limit=-1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:26 +0100] "POST /api/v1.0/entityelements/export/msan/geojson?file=false&limit=-1 HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:26 +0100] "OPTIONS /api/v1.0/entityelements/export/msan/geojson?file=false&page=0&limit=5&sort=createDate&dir=asc HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:26 +0100] "POST /api/v1.0/entityelements/export/msan/geojson?file=false&page=0&limit=5&sort=createDate&dir=asc HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [23/Aug/2020:10:15:28 +0100] "OPTIONS /api/v1.0/entityelements/export/msan/geojson?file=false&page=1&limit=5&sort=createDate&dir=asc HTTP/1.1" 200 -
